Feature Set,Model,Fold,Test Start,Test End,AUC
Technical Only,Random Forest,64,2025-06-06,2025-08-28,0.4972191323692992
Technical Only,XGBoost,64,2025-06-06,2025-08-28,0.49499443826473855
Technical Only,Logistic Regression,65,2025-08-29,2025-11-20,0.5539488320355952
Technical Only,Random Forest,65,2025-08-29,2025-11-20,0.575083426028921
Technical Only,XGBoost,65,2025-08-29,2025-11-20,0.6651835372636262
Event Only,Logistic Regression,1,2010-11-30,2011-02-21,0.49717194570135753
Event Only,Random Forest,1,2010-11-30,2011-02-21,0.5158371040723982
Event Only,XGBoost,1,2010-11-30,2011-02-21,0.5407239819004525
Event Only,Logistic Regression,2,2011-02-22,2011-05-16,0.5377142857142857
Event Only,Random Forest,2,2011-02-22,2011-05-16,0.5245714285714285
Event Only,XGBoost,2,2011-02-22,2011-05-16,0.6057142857142856
Event Only,Logistic Regression,3,2011-05-17,2011-08-08,0.5027808676307008
Event Only,Random Forest,3,2011-05-17,2011-08-08,0.5172413793103448
Event Only,XGBoost,3,2011-05-17,2011-08-08,0.5027808676307008
Event Only,Logistic Regression,4,2011-08-09,2011-10-31,0.5144444444444444
Event Only,Random Forest,4,2011-08-09,2011-10-31,0.6566666666666666
Event Only,XGBoost,4,2011-08-09,2011-10-31,0.57
Event Only,Logistic Regression,5,2011-11-01,2012-01-23,0.5377777777777778
Event Only,Random Forest,5,2011-11-01,2012-01-23,0.4938888888888889
Event Only,XGBoost,5,2011-11-01,2012-01-23,0.5027777777777778
Event Only,Logistic Regression,6,2012-01-24,2012-04-16,0.5555555555555556
Event Only,Random Forest,6,2012-01-24,2012-04-16,0.5055555555555555
Event Only,XGBoost,6,2012-01-24,2012-04-16,0.3844444444444444
Event Only,Logistic Regression,7,2012-04-17,2012-07-09,0.5499412455934195
Event Only,Random Forest,7,2012-04-17,2012-07-09,0.48589894242068155
Event Only,XGBoost,7,2012-04-17,2012-07-09,0.399529964747356
Event Only,Logistic Regression,8,2012-07-10,2012-10-01,0.4584736251402918
Event Only,Random Forest,8,2012-07-10,2012-10-01,0.4590347923681257
Event Only,XGBoost,8,2012-07-10,2012-10-01,0.4012345679012346
Event Only,Logistic Regression,9,2012-10-02,2012-12-25,0.610678531701891
Event Only,Random Forest,9,2012-10-02,2012-12-25,0.5444938820912124
Event Only,XGBoost,9,2012-10-02,2012-12-25,0.4371523915461624
Event Only,Logistic Regression,10,2012-12-26,2013-03-19,0.46273637374860954
Event Only,Random Forest,10,2012-12-26,2013-03-19,0.389321468298109
Event Only,XGBoost,10,2012-12-26,2013-03-19,0.4165739710789767
Event Only,Logistic Regression,11,2013-03-20,2013-06-11,0.5165714285714285
Event Only,Random Forest,11,2013-03-20,2013-06-11,0.553142857142857
Event Only,XGBoost,11,2013-03-20,2013-06-11,0.5165714285714286
Event Only,Logistic Regression,12,2013-06-12,2013-09-03,0.5323660714285714
Event Only,Random Forest,12,2013-06-12,2013-09-03,0.5496651785714286
Event Only,XGBoost,12,2013-06-12,2013-09-03,0.5513392857142858
Event Only,Logistic Regression,13,2013-09-04,2013-11-27,0.4605263157894737
Event Only,Random Forest,13,2013-09-04,2013-11-27,0.5370813397129186
Event Only,XGBoost,13,2013-09-04,2013-11-27,0.5041866028708135
Event Only,Logistic Regression,14,2013-11-28,2014-02-19,0.5909598214285714
Event Only,Random Forest,14,2013-11-28,2014-02-19,0.5089285714285714
Event Only,XGBoost,14,2013-11-28,2014-02-19,0.5948660714285714
Event Only,Logistic Regression,15,2014-02-20,2014-05-14,0.39875565610859726
Event Only,Random Forest,15,2014-02-20,2014-05-14,0.459841628959276
Event Only,XGBoost,15,2014-02-20,2014-05-14,0.48812217194570134
Event Only,Logistic Regression,16,2014-05-15,2014-08-06,0.5682870370370371
